"Headline","Date","Source","City","State","Xenophobia","Location.Notes","Location.New","EventCodes","New3.PoliticalStatement","Old3.PoliticalStatement","New8.AsianBusinessDownturn","Old8.AsianBusinessDownturn","New9.AsianEventCancellation","Old9.AsianEventCancellation","New10.Transportation","Old10.Transportation","New12.AdultHarassment","Old12.AdultHarassment","New13.ChildHarassment","Old13.ChildHarassment","New14.OfficialStancesAgainstXenophobia","Old14.OfficialStancesAgainstXenophobia","New15.AsiansResistXenophobia","Old15.AsiansResistXenophobia","New16.Vandalism","Old16.Vandalism","Old.18","latitude","longitude"
"Eng, D. (2020, April 12). seymour; Asian-American restaurant owners get support from town; Owners: After receiving racially motivated threats, community rallies behind family. Connecticut Post (Bridgeport, CT), p. A001. Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A4B44874D84A30.","4/12/20","Connecticut Post ","Bridgeport","CT","Xenophobia is bad","Seymour, CT","Seymour, CT","New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,41.397146,-73.0747534
"(2020, April 13). Sacramento Bee, The, p. 6. Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=image/v2%3A168017CA06D920C8%40AWNB-17A4EA9940B89F9B%402458953-17A4F0B0E64DA4F4%405-17A4F0B0E64DA4F4%40.","4/13/20","The Sacramento Bee","Sacramento","CA","Xenophobia is bad","Elk Grove, CA","Elk Grove, CA","Old 3 - Political Statement|New 12 - Adult Harassment|New 14 - Official Stances Against Xenophobia|New 15 - Asians Resist Xenophobia",NA,"Old 3 - Political Statement",NA,NA,NA,NA,NA,NA,"New 12 - Adult Harassment",NA,NA,NA,"New 14 - Official Stances Against Xenophobia",NA,"New 15 - Asians Resist Xenophobia",NA,NA,NA,NA,38.4087993,-121.3716178
"(2020, April 13). Lewiston Tribune (ID), p. 12. Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=image/v2%3A16E4A2D9DEC4ADB0%40AWNB-17A51897E09D8CDB%402458953-17A518A7D3EEC8B1%4011-17A518A7D3EEC8B1%40.","4/13/20","Lewiston Tribune ","Lewiston","ID","Xenophobia is bad","Washington DC","Washington, District of Columbia","New 3 - Political Statement","New 3 - Political Statement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707
"Asian Americans report more racist confrontations due to COVID-19 blame. (2020, April 13). NBC - 8 WFLA: Web Edition Articles (Tampa, FL). Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A575BFD21420C8.","4/13/20","NBC - 8 WFLA: Web Edition Articles ","Tampa","FL","Xenophobia is bad","Escondito, CA","Escondito, CA","Old 3 - Political Statement|New 12 - Adult Harassment|Old 12 - Adult Harassment",NA,"Old 3 - Political Statement",NA,NA,NA,NA,NA,NA,"New 12 - Adult Harassment","Old 12 - Adult Harassment",NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1192068,-117.086421
"(2020, April 13). Houston Chronicle (TX), p. 6. Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=image/v2%3A16797DF2166E5EE0%40AWNB-17A5032F62CE172B%402458953-17A523AAF3D099C6%405-17A523AAF3D099C6%40.","4/13/20","Houston Chronicle ","Houston","TX","Xenophobia is bad","Texas","Texas","Old 3 - Political Statement",NA,"Old 3 - Political Statement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9685988,-99.9018131
"(2020, April 13). Tulsa World (OK), p. 16. Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=image/v2%3A16E88A75E8C3BEC8%40AWNB-17A507616CB9818C%402458953-17A50770AD46407A%4015-17A50770AD46407A%40.","4/13/20","Tulsa World ","Tulsa","OK","Xenophobia is bad","Stillwater, OK","Stillwater, OK","New 15 - Asians Resist Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 15 - Asians Resist Xenophobia",NA,NA,NA,NA,36.1156071,-97.0583681
"Xenophobia: Addressing an effect of COVID 19. (2020, April 13). Gator Times: University of Florida (Gainesville, FL). Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A520DE586AFDE8.","4/13/20","Gator Times: University of Florida ","Gainesville","FL","Xenophobia is bad","Gainesville, FL","Gainesville, FL","New 15 - Asians Resist Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 15 - Asians Resist Xenophobia",NA,NA,NA,NA,29.6516344,-82.3248262
"Bo Williams, K. (2020, April 13). Republicans Seek to Punish China for Coronavirus as Trump Waffles - ""Having the relationship I have with China is a good thing,"" Trump says. But Republicans say China needs to ""pay a price."". Defense One (USA). Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A555EC2F5DFDE8.","4/13/20",". Defense One ",NA,NA,"Reporting on China is to Blame Statements","Washington DC","Washington, District of Columbia","New 3 - Political Statement|Old 3 - Political Statement","New 3 - Political Statement","Old 3 - Political Statement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707
"Lemon, D. (2020, April 13). Governors Want To Reopen Economy; CDC Says Rushing Things Is Bad Idea; Mayor London Breed (D) Of San Francisco Is Interviewed About Early Action She Made In The State To Control Spread Of Virus; President Trump Criticized By Media; Fact Check: A List Of False Claims From President Trump's Coronavirus Briefing; President Trump Touts Hydroxychloroquine As Heart Risk Concerns Mount For Unproven Coronavirus Treatment. Aired 11p-12a ET. CNN Tonight. Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A5B82D911EE770.","4/13/20","CNN","Atlanta ","GA","Xenophobia is bad","Washington DC","Washington, District of Columbia","Old 3 - Political Statement",NA,"Old 3 - Political Statement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707
"Melo, F. (2020, April 13). St. Paul lawmaker condemns anti-Asian rhetoric after webinar on discrimination is interrupted by racist remarks. St. Paul Pioneer Press: Web Edition Articles (MN). Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A567C2546ABAF8.","4/13/20","St. Paul Pioneer Press: Web Edition Articles ","St. Paul","MN","Xenophobia is bad","St. Paul, MN","St. Paul, MN","New 12 - Adult Harassment|New 14 - Official Stances Against Xenophobia|Old 15 - Asians Resist Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,"New 12 - Adult Harassment",NA,NA,NA,"New 14 - Official Stances Against Xenophobia",NA,NA,"Old 15 - Asians Resist Xenophobia",NA,NA,NA,44.9537029,-93.0899578
